PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"38988915","Construction of a new prognostic model for colorectal cancer based on bulk RNA-seq combined with The Cancer Genome Atlas data","Ye Y, Xu G.","Transl Cancer Res. 2024 Jun 30;13(6):2704-2720. doi: 10.21037/tcr-23-2281. Epub 2024 Jun 20.","Ye Y","Transl Cancer Res","2024","2024/07/11","PMC11231782","","10.21037/tcr-23-2281"
"38441701","Prediction of Ablation Rate for High-Intensity Focused Ultrasound Therapy of Adenomyosis in MR Images Based on Multi-model Fusion","Ying J, Jing X, Gao F, Cheng J, Fu L, Yang H.","J Imaging Inform Med. 2024 Aug;37(4):1579-1590. doi: 10.1007/s10278-024-01063-4. Epub 2024 Mar 5.","Ying J","J Imaging Inform Med","2024","2024/03/05","PMC11300765","","10.1007/s10278-024-01063-4"
"39246805","Development and Validation of Radiomics-Based Models for Predicting the Parametrial Invasion in Stage IB1 to IIA2 Cervical Cancer","Hu Y, Ai J.","Int J Gen Med. 2024 Sep 3;17:3813-3824. doi: 10.2147/IJGM.S478842. eCollection 2024.","Hu Y","Int J Gen Med","2024","2024/09/09","PMC11380489","","10.2147/IJGM.S478842"
"37803857","[Assessment of risk factors for bronchopulmonary dysplasia with pulmonary hypertension and construction of a prediction nomogram model]","Dai SZ, Li SS, Zhou MY, Xu Y, Zhang L, Zhang YH, Ye DN, Xu LP, Han SP.","Zhonghua Er Ke Za Zhi. 2023 Oct 2;61(10):902-909. doi: 10.3760/cma.j.cn112140-20230616-00406.","Dai SZ","Zhonghua Er Ke Za Zhi","2023","2023/10/07","","","10.3760/cma.j.cn112140-20230616-00406"
"38357546","Progressions of the correlation between lipid metabolism and immune infiltration characteristics in gastric cancer and identification of BCHE as a potential biomarker","Wang S, Huang X, Zhao S, Lv J, Li Y, Wang S, Guo J, Wang Y, Wang R, Zhang M, Qiu W.","Front Immunol. 2024 Jan 31;15:1327565. doi: 10.3389/fimmu.2024.1327565. eCollection 2024.","Wang S","Front Immunol","2024","2024/02/15","PMC10864593","","10.3389/fimmu.2024.1327565"
"35898883","Nomogram Predicts Overall Survival in Patients With Stage IV Thyroid Cancer (TC): A Population-Based Analysis From the SEER Database","Yang T, Hu T, Zhao M, He Q.","Front Oncol. 2022 Jul 11;12:919740. doi: 10.3389/fonc.2022.919740. eCollection 2022.","Yang T","Front Oncol","2022","2022/07/28","PMC9309361","","10.3389/fonc.2022.919740"
"38269707","Design and Application of Multi-Center Clinical Research Platform for Phenotyping of Voriconazole Hepatotoxicity","Zhang Y, Wang Y, Chi S, Ru H, Jiang Y, Tian Y, Zhou T, Li J.","Stud Health Technol Inform. 2024 Jan 25;310:1482-1483. doi: 10.3233/SHTI231255.","Zhang Y","Stud Health Technol Inform","2024","2024/01/25","","","10.3233/SHTI231255"
"35273943","Development and Validation of a Competitive Risk Model in Elderly Patients With Chromophobe Cell Renal Carcinoma: A Population-Based Study","Wang J, Zhanghuang C, Tan X, Mi T, Liu J, Jin L, Li M, Zhang Z, He D.","Front Public Health. 2022 Feb 22;10:840525. doi: 10.3389/fpubh.2022.840525. eCollection 2022.","Wang J","Front Public Health","2022","2022/03/11","PMC8902051","","10.3389/fpubh.2022.840525"
"40512995","Prediction of Insulin Resistance in Nondiabetic Population Using LightGBM and Cohort Validation of Its Clinical Value: Cross-Sectional and Retrospective Cohort Study","Peng T, Miao R, Xiong H, Lin Y, Fan D, Ren J, Wang J, Li Y, Chen J.","JMIR Med Inform. 2025 Jun 13;13:e72238. doi: 10.2196/72238.","Peng T","JMIR Med Inform","2025","2025/06/13","PMC12180673","","10.2196/72238"
"38821404","Development of Predicting Nomograms for Diffuse Astrocytoma and Anaplastic Astrocytoma: A Study Based on the Surveillance, Epidemiology, and End Results Database","Chen M, Xu X, Wang F, Xu X.","World Neurosurg. 2024 Aug;188:e513-e530. doi: 10.1016/j.wneu.2024.05.147. Epub 2024 May 29.","Chen M","World Neurosurg","2024","2024/05/31","","","10.1016/j.wneu.2024.05.147"
